ORF	het | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	het | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008	hom | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	hom | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008	hap a | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	hap a | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008
YBR211C	0.709	-0.113	NaN	NaN	NaN	NaN
YBR212W	NaN	NaN	0.012	0.180	-0.000	-0.000
YBR213W	NaN	NaN	NaN	NaN	-0.000	-0.000
YBR214W	NaN	NaN	NaN	NaN	-0.000	-0.000
YBR215W	NaN	NaN	0.159	0.416	-0.000	-0.000
YBR216C	NaN	NaN	NaN	NaN	-0.000	-0.000
YBR217W	NaN	NaN	0.031	0.145	-0.000	-0.000
YBR218C	NaN	NaN	NaN	NaN	-0.000	-0.000
YBR219C	NaN	NaN	NaN	NaN	-0.000	-0.000
YBR220C	NaN	NaN	NaN	NaN	-0.000	-0.000
YBR221C	NaN	NaN	NaN	NaN	NaN	NaN
YBR222C	NaN	NaN	NaN	NaN	-0.000	-0.000
YBR223C	NaN	NaN	NaN	NaN	-0.000	-0.000
YBR224W	NaN	NaN	NaN	NaN	NaN	NaN
YBR225W	NaN	NaN	NaN	NaN	-0.000	-0.000
YBR226C	NaN	NaN	-0.076	-0.263	NaN	NaN
YBR227C	NaN	NaN	0.031	1.036	-0.000	-0.000
YBR228W	NaN	NaN	-0.211	-0.834	-0.000	-0.000
YBR229C	NaN	NaN	0.135	-0.903	NaN	NaN
YBR230C	NaN	NaN	-0.137	1.508	-0.000	-0.000
YBR231C	NaN	NaN	NaN	NaN	NaN	NaN
YBR232C	NaN	NaN	-0.653	-0.226	NaN	NaN
YBR233W	NaN	NaN	-0.709	-1.354	-0.000	-0.000
YBR233W-A	-0.764	0.316	NaN	NaN	NaN	NaN
YBR234C	0.840	-0.625	NaN	NaN	NaN	NaN
YBR235W	NaN	NaN	0.224	0.063	-0.000	-0.000
YBR236C	-0.332	-0.788	NaN	NaN	NaN	NaN
YBR237W	-0.002	0.235	NaN	NaN	NaN	NaN
YBR238C	NaN	NaN	-0.352	-0.797	-0.000	-0.000
YBR239C	NaN	NaN	1.518	1.108	-0.000	-0.000
YBR240C	NaN	NaN	NaN	NaN	-0.000	-0.000
YBR241C	NaN	NaN	-0.398	0.063	-0.000	-0.000
YBR242W	NaN	NaN	-0.045	-0.387	-0.000	-0.000
YBR243C	0.310	-1.164	NaN	NaN	NaN	NaN
YBR244W	NaN	NaN	0.226	-0.032	-0.000	-2.098
YBR245C	NaN	NaN	-0.561	-1.593	-0.000	-0.000
YBR246W	NaN	NaN	-0.261	-1.014	-0.000	-0.000
YBR247C	-4.382	-2.370	NaN	NaN	NaN	NaN
YBR248C	NaN	NaN	-1.185	-0.763	-0.000	-0.000
YBR249C	NaN	NaN	-0.372	-0.091	-0.000	-0.000
YBR250W	NaN	NaN	-1.253	-0.282	-0.000	-0.000
YBR251W	NaN	NaN	NaN	NaN	-1.504	-0.000
YBR252W	-0.006	0.018	NaN	NaN	NaN	NaN
YBR253W	1.378	0.403	NaN	NaN	NaN	NaN
YBR254C	-0.374	-0.830	NaN	NaN	NaN	NaN
YBR255W	NaN	NaN	-0.814	-3.026	-0.000	-0.000
YBR256C	-0.050	-0.648	NaN	NaN	NaN	NaN
YBR257W	-0.610	-1.041	NaN	NaN	NaN	NaN
YBR258C	NaN	NaN	-0.069	-0.187	-0.000	-0.000
YBR259W	NaN	NaN	0.656	-0.148	-0.000	-0.000
YBR260C	NaN	NaN	0.464	0.510	-0.000	-0.000
YBR261C	NaN	NaN	-0.422	-0.723	-0.000	-0.000
YBR262C	NaN	NaN	-0.888	-0.851	-0.000	-0.000
YBR263W	NaN	NaN	-0.404	0.571	-0.000	-0.000
YBR264C	NaN	NaN	-2.499	-0.733	-0.000	-0.000
YBR265W	0.767	0.216	NaN	NaN	NaN	NaN
YBR266C	NaN	NaN	NaN	NaN	NaN	NaN
YBR267W	NaN	NaN	-0.240	-0.203	-0.000	-0.000
YBR268W	NaN	NaN	3.317	-1.899	-1.351	-0.000
YBR269C	NaN	NaN	-0.822	-1.639	-0.000	-0.000
YBR270C	NaN	NaN	0.514	2.540	-0.000	-0.000
YBR271W	NaN	NaN	NaN	NaN	-0.000	-0.000
YBR272C	NaN	NaN	NaN	NaN	-0.000	-0.000
YBR273C	NaN	NaN	-1.699	-0.738	NaN	NaN
YBR274W	NaN	NaN	NaN	NaN	-0.000	-0.000
YBR275C	NaN	NaN	-0.543	-0.277	-0.000	-0.000
YBR276C	NaN	NaN	-0.060	-0.422	-0.000	-0.000
YBR277C	NaN	NaN	-1.659	-1.079	NaN	NaN
YBR278W	NaN	NaN	-1.062	-0.115	-0.000	-0.000
YBR279W	NaN	NaN	-0.147	-0.117	-0.000	-0.000
YBR280C	NaN	NaN	NaN	NaN	-0.000	-0.000
YBR281C	NaN	NaN	-0.160	-1.171	-0.000	-0.000
YBR282W	NaN	NaN	1.530	-0.282	-1.191	-0.000
YBR283C	NaN	NaN	-0.077	-0.803	-0.000	-0.000
YBR284W	NaN	NaN	1.011	-0.903	-0.000	-0.000
YBR285W	NaN	NaN	-0.467	-0.389	-0.000	-0.000
YBR286W	NaN	NaN	0.771	-2.587	-0.000	-0.000
YBR287W	NaN	NaN	-0.410	-0.966	-0.000	-0.000
YBR288C	NaN	NaN	-1.567	-1.237	NaN	NaN
YBR289W	NaN	NaN	NaN	NaN	-0.000	-0.000
YBR290W	NaN	NaN	-0.967	0.959	-0.000	-0.000
YBR291C	NaN	NaN	0.533	-2.183	-0.000	-0.000
YBR292C	NaN	NaN	0.309	-1.572	NaN	NaN
YBR293W	NaN	NaN	-0.723	-0.220	-0.000	-0.000
YBR294W	NaN	NaN	-0.465	1.578	-0.000	-0.000
YBR295W	NaN	NaN	0.439	-1.688	-0.000	-0.552
YBR296C	NaN	NaN	0.265	-0.207	-0.000	-0.000
YBR297W	NaN	NaN	0.062	-1.136	-0.000	-0.000
YBR298C	NaN	NaN	0.469	-1.191	-0.000	-0.000
YBR299W	NaN	NaN	0.634	-0.118	-0.000	-0.000
YBR300C	NaN	NaN	1.351	-1.243	NaN	NaN
YBR301W	NaN	NaN	0.757	0.051	-0.000	-0.000
YCL001W	NaN	NaN	-1.171	-1.076	-0.000	-0.000
YCL001W-A	NaN	NaN	0.728	-2.215	-0.000	-0.000
YCL002C	NaN	NaN	-0.687	-1.068	-0.000	-0.000
YCL003W	0.080	-0.153	NaN	NaN	NaN	NaN
YCL004W	0.990	-0.404	NaN	NaN	NaN	NaN
YCL005W	NaN	NaN	-0.788	0.157	NaN	NaN
YCL006C	NaN	NaN	-0.833	-0.858	NaN	NaN
YCL007C	NaN	NaN	NaN	NaN	NaN	NaN
YCL008C	NaN	NaN	-0.264	-0.380	NaN	NaN
YCL009C	NaN	NaN	-0.346	-1.161	-0.000	-0.000
YCL010C	NaN	NaN	0.993	1.549	-0.000	-0.000
YCL011C	NaN	NaN	-1.033	-0.107	-0.000	-0.000
YCL012W	NaN	NaN	-0.998	-1.225	NaN	NaN
YCL013W	NaN	NaN	-1.311	-0.843	NaN	NaN
YCL014W	NaN	NaN	-0.463	-0.917	-0.000	-0.000
YCL016C	NaN	NaN	-0.125	-0.380	-0.000	-0.000
YCL017C	NaN	NaN	NaN	NaN	NaN	NaN
YCL022C	NaN	NaN	-0.765	-1.132	NaN	NaN
YCL023C	NaN	NaN	-0.264	-0.853	NaN	NaN
YCL024W	NaN	NaN	-0.699	-1.157	NaN	NaN
YCL025C	NaN	NaN	-1.114	-1.153	NaN	NaN
YCL026C	NaN	NaN	-0.208	-0.783	NaN	NaN
YCL026C-A	NaN	NaN	-0.275	-0.268	-0.000	-0.000
YCL027W	NaN	NaN	-0.839	-1.560	NaN	NaN
YCL028W	NaN	NaN	-1.406	-1.239	-0.000	-0.000
YCL029C	NaN	NaN	-2.539	0.530	-0.000	-0.000
YCL030C	NaN	NaN	-0.023	-0.348	NaN	NaN
YCL031C	0.716	-0.219	NaN	NaN	NaN	NaN
YCL032W	NaN	NaN	-0.497	-0.021	-0.000	-0.000
YCL033C	NaN	NaN	-1.197	-0.975	-0.000	-0.000
YCL034W	NaN	NaN	-0.843	-0.848	-0.000	-0.000
YCL035C	NaN	NaN	-0.498	-0.328	-0.000	-0.000
YCL036W	NaN	NaN	-0.121	-2.220	-0.000	-0.000
YCL037C	NaN	NaN	NaN	NaN	-0.000	-0.621
YCL038C	NaN	NaN	-0.575	0.031	-0.000	-0.000
YCL039W	NaN	NaN	-1.200	-1.875	-0.000	-0.000
YCL040W	NaN	NaN	-0.551	-0.036	NaN	NaN
YCL041C	-0.008	0.187	NaN	NaN	NaN	NaN
YCL042W	NaN	NaN	NaN	NaN	-0.000	-0.000
YCL043C	1.061	-0.371	NaN	NaN	NaN	NaN
YCL044C	NaN	NaN	1.759	-1.442	-0.000	-0.000
YCL045C	NaN	NaN	-0.090	1.153	-0.000	-0.000
YCL046W	NaN	NaN	1.400	0.866	NaN	NaN
YCL047C	NaN	NaN	0.796	1.452	-0.000	-0.000
YCL048W	NaN	NaN	-1.350	-0.913	-0.000	-0.000
YCL049C	NaN	NaN	0.344	-0.118	-0.000	-0.000
YCL050C	NaN	NaN	-0.346	-0.766	-0.000	-0.000
YCL051W	NaN	NaN	-0.509	-0.353	-0.000	-0.000
YCL052C	-0.383	-0.383	NaN	NaN	NaN	NaN
YCL053C	-1.026	-0.571	NaN	NaN	NaN	NaN
YCL054W	-0.244	-1.761	NaN	NaN	NaN	NaN
YCL055W	NaN	NaN	-1.334	-2.584	NaN	NaN
YCL056C	NaN	NaN	0.109	-0.379	-0.000	-0.000
YCL057W	NaN	NaN	-0.522	-1.382	-0.000	-0.000
YCL058C	NaN	NaN	-2.099	-1.495	NaN	NaN
YCL059C	2.678	0.183	NaN	NaN	NaN	NaN
YCL060C	NaN	NaN	-1.812	-2.016	NaN	NaN
YCL061C	NaN	NaN	0.166	0.875	-0.000	-0.000
YCL062W	NaN	NaN	-2.439	-2.328	NaN	NaN
YCL063W	NaN	NaN	-2.428	1.190	-0.000	-0.000
YCL064C	NaN	NaN	-0.251	-0.045	NaN	NaN
YCL069W	NaN	NaN	-0.032	-0.425	-0.000	-0.000
YCL074W	NaN	NaN	0.148	-0.894	-0.000	-0.000
YCL075W	NaN	NaN	-0.046	1.966	-0.000	-0.000
YCL076W	NaN	NaN	0.928	0.449	NaN	NaN
YCR001W	NaN	NaN	0.707	0.963	NaN	NaN
YCR002C	NaN	NaN	-1.608	2.357	-0.000	-0.789
YCR003W	NaN	NaN	2.530	1.274	-1.621	-0.000
YCR004C	NaN	NaN	-0.074	-0.037	-2.176	-0.000
YCR005C	NaN	NaN	-0.456	-0.519	-0.000	-0.000
YCR006C	NaN	NaN	0.251	-0.213	NaN	NaN
YCR007C	NaN	NaN	0.263	0.246	-0.000	-0.000
YCR008W	NaN	NaN	-0.282	0.274	-0.000	-0.000
YCR009C	NaN	NaN	-2.062	3.123	NaN	NaN
YCR010C	NaN	NaN	-0.798	-0.293	-0.000	-0.000
YCR011C	NaN	NaN	-1.188	-0.302	-0.000	-0.000
YCR012W	0.576	0.308	NaN	NaN	NaN	NaN
YCR013C	0.512	0.242	NaN	NaN	NaN	NaN
YCR014C	NaN	NaN	-0.647	-0.415	-0.000	-0.000
YCR015C	NaN	NaN	-0.136	0.441	-0.000	-0.000
YCR016W	NaN	NaN	-0.825	-0.120	-0.000	-0.000
YCR017C	NaN	NaN	-0.236	1.001	-0.000	-0.000
YCR019W	NaN	NaN	0.126	0.886	-0.000	-0.000
YCR020C	NaN	NaN	-1.120	-0.554	-0.510	-0.000
YCR020C-A	NaN	NaN	-0.907	0.598	-0.000	-0.000
YCR020W-B	NaN	NaN	NaN	NaN	NaN	NaN
YCR021C	NaN	NaN	-0.702	-0.593	-0.000	-0.000
YCR022C	NaN	NaN	-1.145	-0.495	NaN	NaN
YCR023C	NaN	NaN	-0.885	-0.656	NaN	NaN
YCR024C	NaN	NaN	10.833	-3.500	-0.543	-0.000
YCR024C-A	NaN	NaN	2.765	-3.084	-0.000	-0.000
YCR025C	NaN	NaN	-0.729	-1.351	NaN	NaN
YCR026C	NaN	NaN	0.338	-2.030	-0.000	-0.000
YCR027C	NaN	NaN	-0.376	-1.978	-0.000	-0.000
YCR028C	NaN	NaN	NaN	NaN	-3.927	-0.000
YCR028C-A	NaN	NaN	5.022	-0.223	-1.139	-0.000
YCR030C	NaN	NaN	1.259	1.447	-0.000	-0.000
YCR031C	NaN	NaN	-2.208	-1.329	-0.000	-0.000
YCR032W	NaN	NaN	0.215	0.845	-0.000	-0.000
YCR033W	NaN	NaN	1.837	-1.272	NaN	NaN
YCR034W	NaN	NaN	3.075	0.790	NaN	NaN
YCR035C	-3.067	-1.947	NaN	NaN	NaN	NaN
YCR036W	NaN	NaN	-0.238	-0.882	-0.000	-0.000
YCR037C	NaN	NaN	0.199	0.175	-0.000	-0.000
YCR043C	NaN	NaN	-0.226	0.542	-0.000	-0.000
YCR044C	NaN	NaN	0.040	-0.205	NaN	NaN
YCR045C	NaN	NaN	-0.501	-3.718	-0.000	-0.000
YCR046C	NaN	NaN	1.644	-1.254	-0.621	-0.000
YCR047C	NaN	NaN	NaN	NaN	-0.000	-0.000
YCR048W	NaN	NaN	1.289	1.660	-0.000	-0.000
YCR049C	NaN	NaN	0.391	-0.898	NaN	NaN
YCR050C	NaN	NaN	0.080	-0.743	NaN	NaN
YCR051W	NaN	NaN	-1.482	-3.316	NaN	NaN
YCR052W	1.300	1.429	NaN	NaN	NaN	NaN
YCR053W	NaN	NaN	1.867	0.573	-2.080	-0.000
YCR054C	-0.672	0.428	NaN	NaN	NaN	NaN
YCR057C	NaN	NaN	NaN	NaN	NaN	NaN
YCR059C	NaN	NaN	0.042	-0.874	-0.000	-0.000
YCR060W	NaN	NaN	NaN	NaN	-0.000	-0.000
YCR061W	NaN	NaN	2.673	-1.404	-0.000	-0.000
YCR062W	NaN	NaN	1.019	2.185	NaN	NaN
YCR063W	NaN	NaN	-0.951	-0.048	-0.000	-0.000
YCR064C	NaN	NaN	0.201	-0.319	NaN	NaN
YCR065W	NaN	NaN	-0.088	0.226	-0.000	-0.000
YCR066W	NaN	NaN	2.577	5.260	NaN	NaN
YCR067C	NaN	NaN	NaN	NaN	-0.000	-0.000
YCR068W	NaN	NaN	2.152	-0.646	-0.000	-0.000
YCR069W	NaN	NaN	-0.604	0.131	-0.000	-0.000
YCR071C	NaN	NaN	NaN	NaN	-1.468	-0.000
YCR072C	-1.240	-0.157	NaN	NaN	NaN	NaN
YCR073C	NaN	NaN	-0.580	-0.178	-0.000	-0.000
YCR073W-A	NaN	NaN	-0.033	0.283	-0.000	-0.000
YCR075C	NaN	NaN	1.353	0.921	-0.000	-0.000
YCR076C	NaN	NaN	-0.787	-0.372	-0.000	-0.000
YCR077C	NaN	NaN	NaN	NaN	-0.000	-0.000
YCR079W	NaN	NaN	0.248	-4.592	NaN	NaN
YCR081W	NaN	NaN	0.085	-0.358	-0.000	-0.000
YCR082W	NaN	NaN	-0.074	0.586	-0.000	-0.000
YCR083W	NaN	NaN	-0.213	0.134	-0.000	-0.000
YCR084C	NaN	NaN	NaN	NaN	NaN	NaN
YCR085W	NaN	NaN	-0.154	-0.831	NaN	NaN
YCR086W	NaN	NaN	1.091	0.603	-0.507	-0.000
YCR087C-A	NaN	NaN	0.579	-1.745	-0.000	-0.000
YCR087W	NaN	NaN	0.640	-0.321	NaN	NaN
YCR088W	NaN	NaN	-0.297	-0.645	-0.000	-0.000
YCR089W	NaN	NaN	-0.249	-0.780	NaN	NaN
YCR090C	NaN	NaN	-0.407	-0.712	NaN	NaN
YCR091W	NaN	NaN	0.214	0.273	-0.000	-0.000
YCR092C	NaN	NaN	-0.635	-0.366	-0.000	-0.000
YCR093W	-7.894	-2.725	NaN	NaN	NaN	NaN
YCR094W	NaN	NaN	2.318	4.411	NaN	NaN
YCR095C	NaN	NaN	0.175	0.590	-0.000	-0.000
YCR098C	NaN	NaN	0.601	3.530	-0.000	-0.000
YCR099C	NaN	NaN	-0.339	0.040	NaN	NaN
YCR100C	NaN	NaN	0.194	1.116	-0.000	-0.000
YCR101C	NaN	NaN	0.940	1.776	-0.000	-0.000
YCR102C	NaN	NaN	0.344	0.154	-0.000	-0.000
YCR102W-A	NaN	NaN	0.323	0.597	NaN	NaN
YCR105W	NaN	NaN	-0.089	0.070	-0.000	-0.000
YCR106W	NaN	NaN	0.660	-0.114	-0.000	-0.000
YCR107W	NaN	NaN	0.403	0.862	-0.000	-0.000
YDL001W	NaN	NaN	0.769	0.565	-0.000	-0.000
YDL002C	NaN	NaN	-0.013	-1.025	-0.000	-0.000
YDL003W	NaN	NaN	NaN	NaN	NaN	NaN
YDL004W	-0.798	2.674	NaN	NaN	NaN	NaN
YDL006W	NaN	NaN	2.255	2.339	NaN	NaN
YDL007W	3.983	-0.093	NaN	NaN	NaN	NaN
YDL008W	1.842	0.309	NaN	NaN	NaN	NaN
YDL009C	NaN	NaN	-1.493	-1.097	NaN	NaN
YDL010W	NaN	NaN	0.010	0.483	NaN	NaN
YDL011C	NaN	NaN	-1.092	0.212	NaN	NaN
YDL012C	NaN	NaN	-0.701	-0.157	-0.000	-0.000
YDL013W	NaN	NaN	NaN	NaN	-0.000	-0.000
YDL014W	-2.143	-0.731	NaN	NaN	NaN	NaN
YDL015C	-0.564	-0.603	NaN	NaN	NaN	NaN
YDL016C	NaN	NaN	NaN	NaN	NaN	NaN
YDL017W	0.753	0.668	NaN	NaN	NaN	NaN
YDL018C	NaN	NaN	-0.107	0.101	NaN	NaN
YDL019C	NaN	NaN	-0.627	-0.574	-0.000	-0.000
YDL020C	NaN	NaN	1.643	-0.064	-0.000	-0.000
YDL021W	NaN	NaN	-0.048	2.020	-0.000	-0.000
YDL022W	NaN	NaN	0.765	0.280	-0.000	-0.000
YDL023C	NaN	NaN	0.457	0.114	NaN	NaN
YDL024C	NaN	NaN	-0.210	-0.147	NaN	NaN
YDL025C	NaN	NaN	2.177	-0.089	-0.000	-0.000
YDL026W	NaN	NaN	-0.158	0.328	NaN	NaN
YDL027C	NaN	NaN	0.004	0.223	NaN	NaN
YDL028C	0.551	-0.020	NaN	NaN	NaN	NaN
YDL029W	0.967	0.339	NaN	NaN	NaN	NaN
YDL030W	3.572	-1.074	NaN	NaN	NaN	NaN
YDL031W	-1.656	0.086	NaN	NaN	NaN	NaN
YDL032W	NaN	NaN	3.573	1.327	NaN	NaN
YDL033C	NaN	NaN	-0.698	-1.797	-1.028	-0.000
YDL034W	NaN	NaN	-0.987	-0.606	NaN	NaN
YDL035C	NaN	NaN	-1.919	-1.621	-0.000	-0.000
YDL036C	NaN	NaN	-0.101	-0.530	NaN	NaN
YDL037C	NaN	NaN	-0.191	-1.137	NaN	NaN
YDL038C	NaN	NaN	-0.491	0.134	NaN	NaN
YDL039C	NaN	NaN	-0.848	-0.815	NaN	NaN
YDL040C	NaN	NaN	3.290	-0.909	-0.000	-0.000
YDL041W	NaN	NaN	1.437	2.385	NaN	NaN
YDL042C	NaN	NaN	NaN	NaN	-0.000	-0.000
YDL043C	1.044	0.802	NaN	NaN	NaN	NaN
YDL044C	NaN	NaN	2.303	0.156	-2.170	-0.000
YDL045C	2.231	1.373	NaN	NaN	NaN	NaN
YDL045W-A	NaN	NaN	NaN	NaN	-0.815	-0.000
YDL046W	NaN	NaN	0.566	1.617	-0.000	-0.631
YDL047W	NaN	NaN	NaN	NaN	NaN	NaN
YDL048C	NaN	NaN	1.931	2.566	NaN	NaN
YDL049C	NaN	NaN	-0.031	-0.152	-0.000	-0.000
YDL050C	NaN	NaN	0.758	1.826	NaN	NaN
YDL051W	NaN	NaN	-0.560	0.107	-0.844	-0.000
YDL052C	NaN	NaN	-1.481	-1.219	-0.000	-0.000
YDL053C	NaN	NaN	-0.785	-1.084	NaN	NaN
YDL054C	NaN	NaN	0.231	0.217	NaN	NaN
YDL055C	-0.309	-0.635	NaN	NaN	NaN	NaN
YDL056W	NaN	NaN	3.334	0.565	-0.000	-0.000
YDL057W	NaN	NaN	-0.221	-0.529	-2.035	-0.000
YDL058W	NaN	NaN	NaN	NaN	NaN	NaN
YDL059C	NaN	NaN	-0.079	2.657	-0.000	-1.064
YDL060W	-0.255	2.096	NaN	NaN	NaN	NaN
YDL061C	NaN	NaN	0.136	0.195	NaN	NaN
YDL062W	NaN	NaN	-1.898	-1.985	NaN	NaN
YDL063C	NaN	NaN	-2.485	-2.926	-1.634	-0.000
YDL064W	0.277	0.317	NaN	NaN	NaN	NaN
YDL065C	NaN	NaN	1.908	-0.708	-0.540	-0.000
YDL066W	NaN	NaN	NaN	NaN	-0.000	-0.000
YDL067C	NaN	NaN	6.234	-0.688	-0.000	-0.000
YDL068W	NaN	NaN	NaN	NaN	NaN	NaN
YDL069C	NaN	NaN	6.861	-0.992	-1.540	-0.000
YDL070W	NaN	NaN	0.997	1.450	-0.000	-0.000
YDL071C	NaN	NaN	-0.735	-0.268	NaN	NaN
YDL072C	NaN	NaN	1.616	-0.575	NaN	NaN
YDL073W	NaN	NaN	3.231	9.972	-0.000	-0.000
YDL074C	NaN	NaN	0.588	1.150	-0.000	-0.000
YDL075W	NaN	NaN	NaN	NaN	NaN	NaN
YDL076C	NaN	NaN	0.738	1.675	-0.000	-0.000
YDL077C	NaN	NaN	-1.622	-1.859	NaN	NaN
YDL078C	NaN	NaN	-0.015	0.001	NaN	NaN
YDL079C	NaN	NaN	0.446	0.206	NaN	NaN
YDL080C	NaN	NaN	0.377	-0.410	-0.000	-0.000
YDL081C	NaN	NaN	-1.732	-3.167	-0.000	-0.000
YDL082W	NaN	NaN	0.145	-1.422	-0.000	-0.000
YDL083C	NaN	NaN	NaN	NaN	-0.000	-0.000
YDL084W	0.311	0.587	NaN	NaN	NaN	NaN
YDL085W	NaN	NaN	0.057	0.606	NaN	NaN
YDL086W	NaN	NaN	-0.570	-0.112	NaN	NaN
YDL087C	-0.515	-0.665	NaN	NaN	NaN	NaN
YDL088C	NaN	NaN	0.309	-0.293	NaN	NaN
YDL089W	NaN	NaN	0.331	1.281	-0.000	-0.000
YDL090C	NaN	NaN	NaN	NaN	-0.000	-0.000
YDL091C	NaN	NaN	-1.170	-1.049	NaN	NaN
YDL092W	1.046	0.181	NaN	NaN	NaN	NaN
YDL093W	NaN	NaN	-0.881	-0.629	NaN	NaN
YDL094C	NaN	NaN	0.418	0.320	NaN	NaN
YDL095W	NaN	NaN	NaN	NaN	-0.000	-0.000
YDL096C	NaN	NaN	-0.787	-0.825	NaN	NaN
YDL097C	5.992	-0.119	NaN	NaN	NaN	NaN
YDL098C	-0.817	-0.586	NaN	NaN	NaN	NaN
YDL099W	NaN	NaN	-0.219	0.224	-0.000	-0.000
YDL100C	NaN	NaN	2.024	-0.350	-0.000	-0.000
YDL101C	NaN	NaN	-0.170	0.621	-0.000	-0.000
YDL102W	NaN	NaN	NaN	NaN	NaN	NaN
YDL103C	2.407	0.951	NaN	NaN	NaN	NaN
YDL104C	NaN	NaN	-0.195	-0.416	-1.780	-0.000
YDL105W	0.145	1.222	NaN	NaN	NaN	NaN
YDL106C	NaN	NaN	NaN	NaN	-0.000	-0.000
YDL107W	NaN	NaN	0.870	0.648	-0.000	-0.000
YDL108W	1.798	1.014	NaN	NaN	NaN	NaN
YDL109C	NaN	NaN	0.551	-0.515	NaN	NaN
YDL110C	NaN	NaN	-0.631	-1.365	-0.000	-0.000
YDL111C	-4.043	-1.108	NaN	NaN	NaN	NaN
YDL112W	NaN	NaN	-0.269	0.146	-0.000	-0.000
YDL113C	NaN	NaN	-0.429	-0.909	-1.447	-0.000
YDL114W	NaN	NaN	0.034	-0.514	NaN	NaN
YDL115C	NaN	NaN	NaN	NaN	-0.000	-0.000
YDL116W	NaN	NaN	NaN	NaN	-0.000	-0.570
YDL117W	NaN	NaN	0.831	1.352	-0.000	-0.000
YDL118W	NaN	NaN	-0.739	-0.339	NaN	NaN
YDL119C	NaN	NaN	-0.160	-1.188	NaN	NaN
YDL120W	2.384	1.237	NaN	NaN	NaN	NaN
YDL121C	NaN	NaN	-0.479	-1.048	-0.000	-0.000
YDL122W	NaN	NaN	0.083	-0.726	-0.000	-0.000
YDL123W	NaN	NaN	-0.911	-0.884	-0.000	-0.000
YDL124W	NaN	NaN	-1.148	-1.010	NaN	NaN
YDL125C	NaN	NaN	0.313	1.283	-0.000	-0.000
YDL126C	0.404	0.127	NaN	NaN	NaN	NaN
YDL127W	NaN	NaN	1.333	0.670	NaN	NaN
YDL128W	NaN	NaN	0.813	0.802	NaN	NaN
YDL129W	NaN	NaN	0.589	0.043	NaN	NaN
YDL130W	NaN	NaN	-0.785	-0.258	-0.000	-0.000
YDL130W-A	NaN	NaN	0.703	1.768	-0.000	-0.000
YDL131W	NaN	NaN	-0.603	3.072	NaN	NaN
YDL132W	-0.029	0.821	NaN	NaN	NaN	NaN
YDL133C-A	NaN	NaN	-0.682	-0.994	-0.000	-0.000
YDL133W	NaN	NaN	1.201	0.449	-0.000	-0.000
YDL134C	NaN	NaN	-1.303	-0.179	-0.000	-0.000
YDL134C-A	NaN	NaN	-0.799	-0.979	NaN	NaN
YDL135C	NaN	NaN	-0.749	-1.008	NaN	NaN
YDL136W	NaN	NaN	-2.519	-3.803	NaN	NaN
YDL137W	NaN	NaN	-0.289	-0.144	-0.000	-0.000
YDL138W	NaN	NaN	0.473	0.452	-0.000	-0.000
YDL139C	-0.029	0.223	NaN	NaN	NaN	NaN
YDL140C	0.512	1.076	NaN	NaN	NaN	NaN
YDL141W	0.506	0.383	NaN	NaN	NaN	NaN
YDL142C	NaN	NaN	1.099	0.250	-0.604	-0.000
YDL143W	-0.014	0.382	NaN	NaN	NaN	NaN
YDL144C	NaN	NaN	-0.693	0.120	NaN	NaN
YDL145C	1.583	0.504	NaN	NaN	NaN	NaN
YDL146W	NaN	NaN	-1.936	-1.438	-0.000	-0.000
YDL147W	4.915	0.457	NaN	NaN	NaN	NaN
YDL148C	1.409	1.416	NaN	NaN	NaN	NaN
YDL149W	NaN	NaN	-0.579	-0.390	NaN	NaN
YDL150W	-0.338	-0.724	NaN	NaN	NaN	NaN
YDL151C	NaN	NaN	NaN	NaN	NaN	NaN
YDL152W	-0.811	-0.241	NaN	NaN	NaN	NaN
YDL153C	-1.189	-1.854	NaN	NaN	NaN	NaN
YDL154W	NaN	NaN	-0.202	-0.153	-0.000	-0.000
YDL155W	NaN	NaN	-0.736	-1.207	-0.000	-0.000
YDL156W	NaN	NaN	-0.708	0.031	NaN	NaN
YDL157C	NaN	NaN	0.915	0.755	-0.000	-0.000
YDL158C	-1.242	0.588	NaN	NaN	NaN	NaN
YDL159W	NaN	NaN	NaN	NaN	-0.000	-0.000
YDL160C	NaN	NaN	NaN	NaN	-0.000	-1.004
YDL161W	NaN	NaN	-0.215	0.084	-0.000	-0.000
YDL162C	NaN	NaN	NaN	NaN	NaN	NaN
YDL163W	-0.902	-1.326	NaN	NaN	NaN	NaN
YDL164C	-0.400	-0.001	NaN	NaN	NaN	NaN
YDL165W	-0.821	-0.518	NaN	NaN	NaN	NaN
